Starting Position,Stack/Score/Pick?,Activity,Pre-Req 1,Pre-Req 2,Points,Time,Done?
7,Stack,1st Skyrise,,,4,5,
7,Stack,2nd Skyrise,1,,4,8,
7,Stack,3rd Skyrise,2,,4,8,
7,Stack,4th Skyrise,3,,4,8,
7,Stack,5th Skyrise,4,,4,15,
7,Score,1st Cube on Skyrise,1,Cube,4,4,
7,Score,2nd Cube on Skyrise,1,Cube,4,2,
7,Score,3rd Cube on Skyrise,2,Cube,4,2,
7,Score,4th Cube on Skyrise,3,Cube,4,2,
7,Score,5th Cube on Skyrise,4,Cube,4,5,
7,Score,6th Cube on Skyrse,5,Cube,4,5,
7,Score,1st Cube on SP7,Cube,,2,2,
7,Score,2nd Cube on SP7,Cube,,2,2,
7,Pick,Pick Cube 1,,,0,2,
7,Pick,Pick Cube 2,,,0,2,
8,Score,1st Cube on MP8,Cube,,2,4,
8,Score,2nd Cube on MP8,Cube,17,2,2,
8,Score,3rd Cube on MP8,Cube,18,2,2,
8,Score,4rd Cube on MP8,Cube,19,2,4,
8,Pick,Pick one Cube,,,0,3,
9,Score,1st Cube on SP9,Cube,,2,2,
9,Score,2nd Cube on SP9,Cube,22,2,2,
9,Score,1st Cube on SP9,Cube,,2,2,
9,Score,2nd Cube on SP9,Cube,24,2,2,
9,Pick,Pick one Cube,,,0,2,
4,Score,1st Cube on MP4,Cube,,2,4,
4,Score,2nd Cube on MP4,Cube,27,2,2,
4,Score,3rd Cube on MP4,Cube,28,2,2,
4,Score,4rd Cube on MP4,Cube,29,2,4,
4,Pick,Pick one Cube,,,0,2,
6,Score,1st Cube on MP6,Cube,,2,4,
6,Score,2nd Cube on MP6,Cube,32,2,2,
6,Score,3rd Cube on MP6,Cube,33,2,2,
6,Score,4rd Cube on MP6,Cube,34,2,4,
6,Pick,Pick one Cube,,,0,2,
1,Score,1st Cube on HP1,Cube,,2,8,
1,Score,2nd Cube on HP1,Cube,37,2,4,
1,Score,3rd Cube on HP1,Cube,38,2,2,
1,Score,4rd Cube on HP1,Cube,39,2,8,
1,Score,5th Cube on HP1,Cube,40,2,4,
1,Score,1st Cube on HP1,Cube,,2,8,
1,Score,2nd Cube on HP1,Cube,42,2,4,
1,Score,3rd Cube on HP1,Cube,43,2,2,
1,Score,4rd Cube on HP1,Cube,44,2,8,
1,Score,5th Cube on HP1,Cube,45,2,4,
1,Pick,Pick one Cube,,,0,2,
2,Score,1st Cube on MP2,Cube,,2,4,
2,Score,2nd Cube on MP2,Cube,48,2,2,
2,Score,3rd Cube on MP2,Cube,49,2,2,
2,Score,4rd Cube on MP6,Cube,50,2,4,
2,Pick,Pick one Cube,,,0,2,
5,Pick,Pick Cube 1,,,0,2,
5,Pick,Pick Cube 2,,53,0,3,
5,Pick,Pick Cube 3,,54,0,2,
5,Pick,Pick Cube 4,,55,0,6,
5,Pick,Pick Cube 5,,56,0,5,
5,Pick,Pick Cube 6,,57,0,2,
5,Pick,Pick Cube 1,,,0,2,
5,Pick,Pick Cube 2,,59,0,3,
5,Pick,Pick Cube 3,,60,0,2,
5,Pick,Pick Cube 4,,61,0,6,
5,Pick,Pick Cube 5,,62,0,5,
5,Pick,Pick Cube 6,,63,0,2,
